,registros,porcentaje_WA
King / Seattle,29447,16.592009105405207
King / Bellevue,8930,5.031637902376083
King / Redmond,6478,3.6500504290696822
Clark / Vancouver,6193,3.489466240695978
King / Kirkland,5362,3.0212365545958066
King / Sammamish,5280,2.975033384607583
King / Renton,4980,2.8059973968457887
Snohomish / Bothell,4663,2.627382703110826
Thurston / Olympia,4299,2.422285704626515
Pierce / Tacoma,3722,2.09717315483133
Whatcom / Bellingham,2933,1.652608507017811
King / Tukwila,2927,1.649227787262575
King / Kent,2782,1.567527059844374
King / Issaquah,2764,1.5573849005786666
Spokane / Spokane,2735,1.5410447550950264
Snohomish / Lynnwood,2726,1.5359736754621724
Snohomish / Everett,2475,1.3945468990348047
King / Mercer Island,2344,1.320734517712154
King / Woodinville,2163,1.2187494717625382
Snohomish / Snohomish,2102,1.18437882091764
King / Shoreline,1952,1.0998608270367427
Pierce / Gig Harbor,1948,1.0976070138665857
Snohomish / Edmonds,1896,1.0683074426545411
Kitsap / Bainbridge Island,1760,0.9916777948691943
King / Auburn,1664,0.9375862787854201
Clark / Camas,1586,0.8936369219673536
King / Maple Valley,1490,0.8395454058835792
King / Federal Way,1437,0.8096823813789955
King / Seatac,1409,0.7939056891878947
Snohomish / Lake Stevens,1351,0.7612253982206145
Pierce / Puyallup,1315,0.7409410796891992
Kitsap / Bremerton,1299,0.7319258270085701
Snohomish / Marysville,1207,0.6800881240949531
King / Bothell,1200,0.676143951047178
Kitsap / Port Orchard,1069,0.6023315697245277
King / Kenmore,1028,0.5792299847304159
Pierce / Bonney Lake,992,0.5589456661990004
Clark / Ridgefield,946,0.5330268147421919
Thurston / Lacey,943,0.531336454864574
Benton / Richland,923,0.5200673890137877
King / Newcastle,906,0.5104886830406193
Benton / Kennewick,878,0.4947119908495185
King / Burien,876,0.4935850842644399
King / Snoqualmie,865,0.4873870980465074
Snohomish / Mukilteo,773,0.4355493951328905
Snohomish / Monroe,765,0.43104176879257594
Pierce / Lakewood,750,0.42258996940448623
King / North Bend,742,0.4180823430641717
Spokane / Spokane Valley,701,0.3949807580700597
Snohomish / Mill Creek,695,0.39160003831482393
Kitsap / Poulsbo,695,0.39160003831482393
Pierce / University Place,692,0.3899096784372059
King / Lake Forest Park,691,0.38934622514466666
Skagit / Anacortes,668,0.3763867994162624
Yakima / Yakima,658,0.37075226649086923
Skagit / Mount Vernon,642,0.3617370138102402
Thurston / Tumwater,639,0.36004665393262225
King / Vashon,631,0.3555390275923077
Jefferson / Port Townsend,622,0.3504679479594539
King / Duvall,605,0.34088924198628556
Clallam / Sequim,594,0.33469125576835307
Clark / Battle Ground,574,0.32342218991756677
Snohomish / Arlington,565,0.31835111028471297
Franklin / Pasco,556,0.3132800306518591
Pierce / South Hill,553,0.31158967077424116
King / Covington,547,0.30820895101900525
Clark / Washougal,509,0.28679772590251135
King / Des Moines,502,0.28285355285473607
Island / Oak Harbor,468,0.2636961409083994
Island / Camano Island,462,0.2603154211531635
Snohomish / Mountlake Terrace,450,0.2535539816426917
Clallam / Port Angeles,438,0.24679254213221996
San Juan / Friday Harbor,438,0.24679254213221996
Snohomish / Stanwood,425,0.23946764932920886
Chelan / Wenatchee,412,0.23214275652619776
Mason / Shelton,400,0.22538131701572597
Whatcom / Blaine,398,0.22425441043064737
Pierce / Spanaway,389,0.2191833307977935
King / Black Diamond,378,0.21298534457986104
King / Carnation,360,0.20284318531415338
Kitsap / Silverdale,350,0.19720865238876023
Cowlitz / Longview,350,0.19720865238876023
Walla Walla / Walla Walla,347,0.1955182925111423
Whatcom / Ferndale,345,0.19439138592606367
King / Enumclaw,331,0.18650303983051325
King / Medina,330,0.18593958653797393
Pierce / Graham,330,0.18593958653797393
King / Clyde Hill,328,0.1848126799528953
Pierce / Lake Tapps,322,0.18143196019765942
Grant / Moses Lake,296,0.16678217459163722
Pierce / Edgewood,287,0.16171109495878339
Kittitas / Ellensburg,285,0.16058418837370475
San Juan / Eastsound,284,0.16002073508116543
Clark / Brush Prairie,278,0.15664001532592955
Douglas / East Wenatchee,277,0.15607656203339024
Lewis / Centralia,272,0.15325929557069368
King / Normandy Park,269,0.15156893569307572
Kitsap / Kingston,268,0.1510054824005364
Thurston / Yelm,265,0.14931512252291845
Chelan / Leavenworth,259,0.14593440276768258
Island / Langley,258,0.14537094947514326
Whitman / Pullman,256,0.14424404289006462
Pierce / Buckley,239,0.13466533691689628
Pierce / Auburn,233,0.13128461716166037
Snohomish / Brier,230,0.12959425728404245
Island / Coupeville,228,0.1284673506989638
King / Fall City,226,0.12734044411388518
Benton / West Richland,222,0.1250866309437279
Whatcom / Lynden,218,0.12283281777357066
Island / Clinton,217,0.12226936448103135
Pierce / Sumner,213,0.12001555131087409
Spokane / Liberty Lake,212,0.11945209801833476
Kittitas / Cle Elum,209,0.11776173814071682
Lewis / Chehalis,199,0.11212720521532368
Clark / La Center,197,0.11100029863024505
Pierce / Fox Island,196,0.11043684533770573
Skagit / Sedro-Woolley,194,0.1093099387526271
Pierce / Dupont,192,0.10818303216754846
Snohomish / Woodinville,189,0.10649267228993052
Island / Freeland,176,0.09916777948691943
Snohomish / Sultan,173,0.09747741960930148
Pierce / Orting,170,0.09578705973168354
Cowlitz / Kelso,168,0.09466015314660492
Pierce / Steilacoom,164,0.09240633997644765
Chelan / Chelan,161,0.09071598009882971
Spokane / Cheney,160,0.09015252680629039
Grays Harbor / Aberdeen,156,0.08789871363613314
Skagit / Burlington,153,0.08620835375851518
