County,registros,porcentaje_WA
King,92740,52.25465835009607
Snohomish,21001,11.833082596618153
Pierce,13782,7.765513277776839
Clark,10409,5.864985322041729
Thurston,6428,3.6218777644427167
Kitsap,5840,3.2905672284295995
Spokane,4586,2.5839967995852984
Whatcom,4253,2.3963668531697064
Benton,2147,1.2097342190819091
Skagit,1910,1.0761957887500915
Island,1882,1.0604190965589908
Clallam,1058,0.5961335835065952
Chelan,1047,0.5899355972886627
Yakima,995,0.5606360260766184
Jefferson,974,0.5488035069332928
San Juan,942,0.5307730015720347
Cowlitz,897,0.5054176034077655
Mason,823,0.4637220597598562
Lewis,739,0.4163919831865538
Grays Harbor,625,0.35215830783707186
Kittitas,623,0.3510314012519932
Franklin,585,0.32962017613549927
Grant,561,0.3160972971145557
Walla Walla,437,0.24622908883968064
Douglas,364,0.20509699848431065
Whitman,334,0.1881933997081312
Klickitat,284,0.16002073508116543
Okanogan,263,0.14818821593783985
Stevens,219,0.12339627106610998
Pacific,202,0.11381756509294162
Skamania,192,0.10818303216754846
Asotin,73,0.041132090355369993
Wahkiakum,60,0.03380719755235889
Pend Oreille,55,0.03098993108966232
Lincoln,49,0.027609211334426433
Adams,48,0.027045758041887115
Ferry,31,0.017467052068718764
Columbia,16,0.009015252680629039
Garfield,3,0.0016903598776179447
