Model Year,ev_type,registros,autonomia_pct,precio_pct
1997,BEV,1,100.0,0.0
1998,BEV,1,100.0,0.0
1999,BEV,5,100.0,0.0
2000,BEV,7,100.0,0.0
2002,BEV,2,100.0,0.0
2003,BEV,1,100.0,0.0
2008,BEV,19,100.0,100.0
2010,BEV,20,100.0,100.0
2010,PHEV,3,100.0,100.0
2011,BEV,699,100.0,1.0014306151645207
2011,PHEV,76,100.0,0.0
2012,BEV,757,100.0,16.77675033025099
2012,PHEV,857,100.0,1.4002333722287048
2013,BEV,2827,100.0,25.716307039264237
2013,PHEV,1572,100.0,0.0
2014,BEV,1737,100.0,36.787564766839374
2014,PHEV,1759,100.0,0.0
2015,BEV,3540,100.0,0.0
2015,PHEV,1286,100.0,0.07776049766718507
2016,BEV,3725,100.0,10.228187919463087
2016,PHEV,1744,100.0,0.573394495412844
2017,BEV,4508,100.0,3.0168589174800355
2017,PHEV,4028,100.0,2.5074478649453824
2018,BEV,9935,100.0,0.7649723200805234
2018,PHEV,4351,100.0,13.399218570443578
2019,BEV,8918,99.9663601704418,0.0
2019,PHEV,1995,100.0,23.358395989974937
2020,BEV,9959,99.37744753489307,0.0
2020,PHEV,1781,100.0,1.291409320606401
2021,BEV,15276,3.672427336999214,0.0
2021,PHEV,3787,100.0,0.0
2022,BEV,23395,0.0,0.0
2022,PHEV,4314,100.0,0.0
2023,BEV,50347,0.0,0.0
2023,PHEV,7173,100.0,0.0
2024,BEV,3269,0.0,0.0
2024,PHEV,3803,100.0,0.0
