Make,registros,porcentaje_WA
TESLA,79471,44.7781966113919
NISSAN,13984,7.879330842869781
CHEVROLET,13652,7.692264349746727
FORD,9177,5.170810865633293
BMW,7556,4.257453078427064
KIA,7423,4.182513790519335
TOYOTA,6255,3.524400344833415
VOLKSWAGEN,4993,2.8133222896487995
JEEP,4469,2.5180727643581986
HYUNDAI,4399,2.4786310338804465
RIVIAN,4307,2.4267933309668295
VOLVO,4124,2.323681378432135
AUDI,3637,2.0492796249654885
CHRYSLER,2976,1.6768369985970013
MERCEDES-BENZ,1588,0.8947638285524322
PORSCHE,1137,0.6406463936172011
MITSUBISHI,957,0.5392248009601244
MINI,898,0.5059810567003048
POLESTAR,881,0.49640235072713645
HONDA,831,0.46822968610017074
SUBARU,830,0.4676662328076314
FIAT,784,0.4417473813508229
DODGE,568,0.32004147016233087
MAZDA,476,0.2682037672487139
CADILLAC,380,0.2141122511649397
LEXUS,370,0.20847771823954653
SMART,270,0.15213238898561504
LINCOLN,266,0.14987857581545777
LUCID,240,0.13522879020943557
JAGUAR,232,0.13072116386912108
GENESIS,181,0.101985045949616
LAND ROVER,55,0.03098993108966232
FISKER,48,0.027045758041887115
ALFA ROMEO,39,0.021974678409033284
AZURE DYNAMICS,8,0.0045076263403145194
TH!NK,5,0.0028172664626965748
GMC,3,0.0016903598776179447
BENTLEY,3,0.0016903598776179447
WHEEGO ELECTRIC CARS,3,0.0016903598776179447
ROLLS ROYCE,1,0.0005634532925393149
