Model Year,BEV,PHEV,total,BEV_pct
1997,1,0,1,100.0
1998,1,0,1,100.0
1999,5,0,5,100.0
2000,7,0,7,100.0
2002,2,0,2,100.0
2003,1,0,1,100.0
2008,19,0,19,100.0
2010,20,3,23,86.95652173913044
2011,699,76,775,90.19354838709678
2012,757,857,1614,46.90210656753408
2013,2827,1572,4399,64.26460559218005
2014,1737,1759,3496,49.68535469107552
2015,3540,1286,4826,73.35267302113552
2016,3725,1744,5469,68.1111720607058
2017,4508,4028,8536,52.811621368322406
2018,9935,4351,14286,69.54360912781745
2019,8918,1995,10913,81.71905067350866
2020,9959,1781,11740,84.82964224872231
2021,15276,3787,19063,80.13429155956565
2022,23395,4314,27709,84.43105128297665
2023,50347,7173,57520,87.52955493741308
2024,3269,3803,7072,46.22454751131222
