,registros,porcentaje_WA
TESLA / MODEL Y,35921,20.239805721304734
TESLA / MODEL 3,30009,16.908669855812303
NISSAN / LEAF,13352,7.523228361984933
TESLA / MODEL S,7711,4.344788338770657
CHEVROLET / BOLT EV,6812,3.8382438287778133
TESLA / MODEL X,5784,3.2590138440473972
CHEVROLET / VOLT,4782,2.694433644923004
VOLKSWAGEN / ID.4,3928,2.213244533094429
JEEP / WRANGLER,3383,1.9061624886605024
FORD / MUSTANG MACH-E,3316,1.8684111180603684
KIA / NIRO,3144,1.7714971517436062
CHRYSLER / PACIFICA,2976,1.6768369985970013
TOYOTA / PRIUS PRIME,2726,1.5359736754621724
HYUNDAI / IONIQ 5,2432,1.3703184074556138
BMW / X5,2407,1.356232075142131
TOYOTA / RAV4 PRIME,2176,1.2260743645655494
KIA / EV6,2154,1.2136783921296845
RIVIAN / R1S,2091,1.1781808346997076
BMW / I3,1923,1.0835206815531027
FORD / FUSION,1782,1.0040737673050593
CHEVROLET / BOLT EUV,1770,0.9973123277945874
RIVIAN / R1T,1710,0.9635051302422285
FORD / F-150,1613,0.908850160865915
FORD / C-MAX,1494,0.8417992190537364
VOLVO / XC90,1420,0.8001036754058272
AUDI / E-TRON,1088,0.6130371822827747
JEEP / GRAND CHEROKEE,1086,0.6119102756976961
VOLVO / XC60,1066,0.6006412098469097
VOLKSWAGEN / E-GOLF,1065,0.6000777565543705
BMW / I4,1054,0.593879770336438
VOLVO / XC40,1005,0.5662705590020115
TOYOTA / PRIUS PLUG-IN,928,0.5228846554764843
MITSUBISHI / OUTLANDER,897,0.5054176034077655
POLESTAR / PS2,881,0.49640235072713645
HONDA / CLARITY,821,0.46259515317477756
BMW / IX,798,0.4496357274463733
FIAT / 500,784,0.4417473813508229
SUBARU / SOLTERRA,765,0.43104176879257594
HYUNDAI / KONA ELECTRIC,719,0.40512291733576744
AUDI / Q5 E,692,0.3899096784372059
MINI / HARDTOP,676,0.3808944257565769
PORSCHE / TAYCAN,647,0.3645542802729368
NISSAN / ARIYA,632,0.3561024808848471
KIA / SORENTO,617,0.3476506814967573
KIA / SPORTAGE,585,0.32962017613549927
DODGE / HORNET,568,0.32004147016233087
